EAN,Extracted Color,Extracted Size
842142106857,Gul,10
842142103788,Gul,12
842142103795,Gul,14
842142103801,Gul,16
842142103818,Gul,18
842142106918,Gul,21
842142110076,Rosa,10
842142106031,Rosa,10
842142125001,Rosa,10
842142106048,Rosa,12
842142110083,Rosa,14
842142105539,Rosa,14
842142105546,Rosa,16
842142110090,Rosa,18
842142104228,Rosa,18
842142104235,Rosa,21
842142112230,Rosa,21
842142106055,Rosa,25
842142112247,Rosa,25
842142106062,Rosa,30
842142112254,Rosa,30
842142106079,Rosa,35
842142113190,Rosa,50
842142113206,Rosa,60
842142113213,Rosa,70
842142107526,Grön,19
842142107533,Grön,23
842142107540,Grön,28
842142107557,Grön,40
842142109643,Grön,30
842142109650,Grön,35
842142109667,Grön,40
842142112391,Grå,20
842142112407,Grå,25
842142112926,Grå,30
842142112933,Grå,35
842142112940,Grå,40
842142112384,Rosa,20
842142112384,Rosa,25
842142112896,Rosa,30
842142112902,Rosa,35
842142112919,Rosa,40
842142105386,Grön,35
842142105393,Grön,40
842142105409,Grön,45
842142106550,Grå,18
842142106529,Rosa,18
842142106420,Grå,12
842142106437,Grå,14
842142106444,Grå,16
842142106451,Grå,21
842142106468,Grå,25
842142106376,Rosa,12
842142106383,Rosa,14
842142106390,Rosa,16
842142106406,Rosa,21
842142106413,Rosa,25
842142113169,Grå,50
842142113176,Grå,60
842142113183,Grå,70
842142113220,Rosa,50
842142113237,Rosa,60
842142113244,Rosa,70